"","x"
"1","TR6479|c4_g1"
"2","TR30457|c0_g1"
"3","TR5108|c1_g1"
"4","TR13269|c0_g1"
"5","TR24012|c9_g3"
"6","TR32253|c6_g1"
"7","TR34340|c0_g2"
"8","TR15420|c0_g1"
"9","TR15973|c12_g1"
"10","TR17891|c6_g1"
"11","TR25553|c3_g1"
"12","TR10844|c2_g1"
"13","TR5039|c12_g3"
"14","TR29141|c1_g1"
"15","TR9091|c3_g2"
"16","TR13033|c0_g1"
"17","TR26474|c1_g1"
"18","TR2732|c6_g3"
"19","TR9494|c0_g1"
"20","TR23685|c0_g2"
"21","TR35292|c0_g1"
"22","TR26378|c1_g1"
"23","TR23947|c5_g1"
"24","TR9491|c4_g1"
"25","TR17137|c0_g1"
"26","TR23683|c0_g1"
"27","TR30231|c0_g1"
"28","TR34766|c2_g1"
"29","TR13678|c0_g2"
"30","TR28102|c0_g1"
"31","TR9437|c9_g4"
"32","TR16201|c0_g1"
"33","TR33506|c0_g1"
"34","TR9124|c3_g1"
"35","TR18220|c7_g2"
"36","TR26410|c2_g1"
"37","TR9107|c1_g2"
"38","TR26384|c5_g1"
"39","TR29589|c0_g1"
"40","TR24428|c0_g1"
"41","TR13678|c4_g1"
"42","TR26284|c0_g1"
"43","TR6536|c5_g3"
"44","TR30895|c1_g1"
"45","TR22640|c0_g1"
"46","TR15275|c8_g2"
"47","TR32233|c4_g1"
"48","TR34766|c2_g3"
"49","TR18220|c6_g1"
"50","TR7582|c1_g4"
"51","TR7188|c0_g1"
"52","TR17857|c1_g1"
"53","TR3360|c1_g1"
"54","TR9437|c9_g3"
"55","TR28030|c0_g1"
"56","TR37039|c1_g1"
"57","TR7704|c5_g1"
"58","TR12150|c0_g1"
"59","TR12912|c0_g1"
"60","TR19157|c0_g1"
"61","TR4808|c0_g1"
"62","TR30205|c2_g1"
"63","TR28511|c2_g1"
"64","TR21657|c0_g2"
"65","TR5109|c4_g1"
"66","TR11710|c2_g1"
"67","TR13676|c0_g2"
"68","TR34820|c13_g2"
"69","TR38931|c12_g1"
"70","TR24014|c2_g3"
"71","TR13676|c0_g4"
"72","TR22897|c4_g1"
"73","TR1426|c4_g2"
"74","TR27385|c0_g1"
"75","TR37039|c2_g1"
"76","TR35961|c1_g1"
"77","TR32140|c15_g2"
"78","TR35862|c1_g1"
"79","TR27535|c0_g2"
"80","TR16062|c0_g1"
"81","TR36211|c13_g1"
"82","TR26410|c5_g1"
"83","TR18561|c0_g1"
"84","TR31881|c2_g1"
"85","TR8684|c0_g1"
"86","TR38931|c0_g1"
"87","TR7582|c1_g2"
"88","TR7544|c0_g2"
"89","TR30801|c0_g1"
"90","TR28219|c0_g1"
"91","TR2831|c1_g1"
"92","TR35292|c1_g1"
"93","TR2490|c8_g1"
"94","TR2329|c0_g1"
"95","TR33151|c0_g1"
"96","TR6452|c2_g1"
"97","TR15773|c0_g1"
"98","TR12543|c0_g1"
"99","TR2443|c0_g1"
"100","TR12912|c1_g1"
"101","TR11470|c0_g1"
"102","TR22897|c3_g1"
"103","TR13217|c2_g1"
"104","TR36989|c2_g1"
"105","TR13350|c1_g1"
"106","TR25588|c6_g1"
"107","TR2490|c7_g1"
"108","TR36367|c0_g1"
"109","TR30202|c1_g1"
"110","TR1615|c0_g1"
"111","TR13217|c0_g1"
"112","TR20767|c0_g1"
"113","TR6629|c2_g4"
"114","TR6391|c0_g1"
"115","TR6089|c9_g1"
"116","TR29841|c0_g1"
"117","TR7759|c0_g1"
"118","TR2996|c0_g1"
"119","TR31903|c0_g1"
"120","TR19699|c1_g2"
"121","TR38966|c5_g1"
"122","TR27085|c0_g2"
"123","TR18959|c0_g1"
"124","TR3922|c4_g4"
"125","TR35446|c0_g1"
"126","TR2727|c6_g3"
"127","TR22074|c0_g1"
"128","TR15220|c0_g4"
"129","TR2171|c9_g1"
"130","TR13932|c0_g1"
"131","TR20267|c0_g1"
"132","TR35019|c0_g1"
